cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
16	1	21872	0	0.0329265	0.00271496	0.999458	0.999996	0.000538537	-0.0356415
16	1	24989	0	0.00271496	0.0121866	0.999996	0.999926	-7.05682e-05	-0.00947161
16	1	32956	0	0.0121866	0.0226628	0.999926	0.999743	-0.000182528	-0.0104762
16	1	74738	0	0.0226628	0.0285356	0.999743	0.999593	-0.000150328	0.0511983
16	1	75965	0	0.0285356	0.0101681	0.999593	0.999948	0.000355507	-0.0387037
16	1	79796	0	0.0101681	0.000786944	0.999948	1	5.13871e-05	0.0109551
16	1	82868	0	0.000786944	0.00595616	1	0.999982	-1.74281e-05	0.00516921
16	2	9585	0	0.0161381	0.0160536	0.99987	0.999871	1.35964e-06	0.0321917
16	2	20184	0	0.0160536	0.0124912	0.999871	0.999922	5.08455e-05	-0.00356241
16	2	23840	0	0.0124912	0.0180483	0.999922	0.999837	-8.48516e-05	-0.0305395
16	2	28312	0	0.0180483	0.0285183	0.999837	0.999593	-0.000243746	-0.01047
16	2	32042	0	0.0285183	0.00426804	0.999593	0.999991	0.000397617	0.0327863
16	2	41690	0	0.00426804	0.00287943	0.999991	0.999996	4.96255e-06	-0.00714747
16	2	53071	0	0.00287943	0.0196419	0.999996	0.999807	-0.00018874	0.0225214
16	2	77926	0	0.0196419	0.00427554	0.999807	0.999991	0.00018378	-0.0153664
